document,loc_in_doc,tokens,trailing_whitespace,labels
317,611,https://www.jackson.com/list/explorehomepage.htm,False,B-URL_PERSONAL
379,28,djones@gmail.com,True,B-EMAIL
379,31,https://www.linkedin.com/in/mmartinez,True,B-URL_PERSONAL
472,922,https://youtu.be/rFD2lJuvace,True,B-URL_PERSONAL
609,26,860632713425,True,B-ID_NUM
609,39,530670102508,True,B-ID_NUM
609,50,530670102508,True,B-ID_NUM
609,56,875673967537,True,B-ID_NUM
609,62,860632713425,True,B-ID_NUM
609,68,557349702179,True,B-ID_NUM
609,74,784372734211,True,B-ID_NUM
609,80,054176622314,True,B-ID_NUM
609,89,674915248960,True,B-ID_NUM
1309,497,https://www.hall.biz/wp-contenthome.html,False,B-URL_PERSONAL
1798,292,http://www.burns-lopez.com/categories/appabout.asp,False,B-URL_PERSONAL
2672,269,http://jacobs-fisher.com/listpost.html,False,B-URL_PERSONAL
2700,825,https://www.youtube.com/watch?v=n-ajTPJ1h-J,False,B-URL_PERSONAL
2769,22,matthew72@hotmail.com,False,B-EMAIL
2926,9,932353568953,True,B-ID_NUM
3202,31,tps://www.facebook.com/bclark,False,B-URL_PERSONAL
3202,33,https://www.youtube.com/channel/UC1ElAcppeuhfet,True,B-URL_PERSONAL
3202,34,nYZqnhEXw,False,I-URL_PERSONAL
3351,61,castanedagabriel,True,B-USERNAME
3402,1224,https://oconnell-townsend.com/wp-content/categorieshomepage.html,False,B-URL_PERSONAL
3565,26,982645662261,False,B-ID_NUM
3565,33,409046248321,False,B-ID_NUM
3709,19,https://diaz.com/tag/wp-contentlogin.htm,False,B-URL_PERSONAL
3709,53,belindarojas@yahoo.com,True,B-EMAIL
3709,55,kennethevans@hotmail.com,False,B-EMAIL
3709,796,https://diaz.com/tag/wp-contentlogin.htm,False,B-URL_PERSONAL
3709,1777,https://diaz.com/tag/wp-contentlogin.htm,False,B-URL_PERSONAL
3709,2272,https://diaz.com/tag/wp-contentlogin.htm,False,B-URL_PERSONAL
3894,34,http://hodge-ramsey.com/tagmain.html,True,B-URL_PERSONAL
4227,3,agood@gmail.com,False,B-EMAIL
4227,526,agood@gmail.com,False,B-EMAIL
4381,18,(,False,B-PHONE_NUM
4381,19,320)202,False,I-PHONE_NUM
4381,20,-,False,I-PHONE_NUM
4381,21,0688x95843,True,I-PHONE_NUM
4381,23,hwillis@gmail.com,True,B-EMAIL
4394,306,http://jones-mendoza.com/blog/search/searchprivacy.php,False,B-URL_PERSONAL
